The autoreload extension is already loaded. To reload it, use:
  %reload_ext autoreload
Bond dimension sensitivity to a  (n_per_coord = 6, 18 qubits, 64³ grid)

 Orbital       a   max χ   χ(x|y)  full bond profile
      1S     4.9      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 27, 16, 8, 4, 2]
      1S     5.0      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 27, 16, 8, 4, 2]
      1S     5.1      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 27, 16, 8, 4, 2]
      1S     5.2      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 27, 16, 8, 4, 2]
      1S     5.3      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 27, 16, 8, 4, 2]
      1S     5.4      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 27, 16, 8, 4, 2]
      1S     5.5      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 27, 16, 8, 4, 2]
      1S     5.6      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 27, 16, 8, 4, 2]
      1S     5.7      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 27, 16, 8, 4, 2]
      1S     5.8      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 27, 16, 8, 4, 2]
      1S     5.9      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 27, 16, 8, 4, 2]
      1S     6.0      77       18  [2, 4, 8, 16, 29, 18, 36, 53, 77, 63, 36, 19, 26, 16, 8, 4, 2]

      2S     0.1      14        5  [2, 2, 2, 4, 6, 5, 10, 10, 10, 14, 10, 5, 10, 10, 8, 4, 2]
      2S     0.2      28        9  [2, 2, 4, 6, 11, 9, 18, 18, 23, 28, 17, 9, 17, 16, 8, 4, 2]
      2S     0.3      37       11  [2, 4, 6, 9, 15, 11, 22, 25, 34, 37, 22, 11, 21, 16, 8, 4, 2]
